เลขทะเบียน,ประกอบธุรกิจ,หมวดธุรกิจ,สถานะ,วันที่จดทะเบียน,ทุนจดทะเบียน,Website,ก่อตั้งโดย,ที่ตั้ง,ชื่อบริษัทภาษาอังกฤษ,ชื่อบริษัทภาษาไทย,ข้อมูลสำหรับการติดต่อ,ที่มา,สมัครงาน / ดูตำแหน่งงานว่าง,วันที่ร้าง,หลักทรัพย์,วันที่เลิก,เบอร์โทร,ข้อมูลสำหรับติดต่อ,เสร็จชำระบัญชี,เว็บไซต์,พิพากษาล้มละลาย,ศาลสั่งพิทักษ์ทรัพย์,ทะเบียน,จดทะเบียน,ธุรกิจ
'0105523007276,ผลิตเมล็ดพันธุ์ข้าวโพดและข้าวฟ่าง จำหน่ายเมล็ดพันธุ์ข้าวโพดและข้าวฟ่าง,การปลูกข้าวโพดที่ใช้เมล็ดแก่,ยังดำเนินกิจการอยู่,29/4/2523,245000000,,"กรรมการ: นายกิตติพงษ์ ลิมปสุรัติ, นางจริยา วุฒิพงศ์วรกิจ, นายพลภัทร เหล่าจรุงเภสัชกร",87 อาคารเอ็ม.ไทย ทาวเวอร์ ออลซีซันส์ เพลส ชั้นที่ 6-7 ถนนวิทยุ แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,"PIONEER HI-BRED (THAILAND) CO., LTD.",บริษัท ไพโอเนีย ไฮ-เบรด (ไทยแลนด์) จำกัด,False,https://www.dataforthai.com/company/0105523007276/,ดูตำแหน่งงานจาก JOBTOPGUN,,,,'027922900,,,,,,,,
'0105539070673,จำหน่ายเมล็ดพันธุ์,การปลูกธัญพืช (ยกเว้นข้าวและข้าวโพด),ยังดำเนินกิจการอยู่,26/6/2539,162000000,,"กรรมการ: นายโยชิฮิโร โอบาทาเกะ, นายเซน ทากามิย่า, นายทองพูน แสนราษฎ์, นายโคอิชิ เดมูระ, นายซึเนะฮิโระ ยาโกชิ, นายอิซาโอะ อิอุชิ",260 หมู่ที่ 13 ตำบลโนนท่อน อำเภอเมืองขอนแก่น จ.ขอนแก่น 40000,"SAKATA SIAM SEED CO., LTD.",บริษัท ซาคาตะ สยาม ซีด จำกัด,False,https://www.dataforthai.com/company/0105539070673/,,,,,'043001314,,,,,,,,
'0105563169226,เพาะปลูกผลิตผลทางการเกษตรกรรม,การปลูกข้าวจ้าว,ยังดำเนินกิจการอยู่,17/11/2563,100000000,,กรรมการ: นางสาวอรวรรณ พัฒนพล,71 อาคารเอจีอาร์ ชั้นที่ 4 ถนนเจริญราษฎร์ แขวงบางโคล่ เขตบางคอแหลม กรุงเทพมหานคร 10120,SUBNAIDIN 666 COMPANY LIMITED,บริษัท ทรัพย์ในดิน 666 จำกัด,False,https://www.dataforthai.com/company/0105563169226/,,,,,,,,,,,,,
'0815524000023,ประกอบกิจการเกษตรกรรม,การปลูกธัญพืช (ยกเว้นข้าวและข้าวโพด),ยังดำเนินกิจการอยู่,17/9/2524,30000000,,"กรรมการ: นายบุญส่ง ลีลามั่นคง, นางสุรัตน์ โพธิ์วิจิตร, นายอรรถพล ลีลภัสธนพงษ์, นายผจญ ตรังพาณิชย์, นายปรีชา จารุพานิช, นายสมนึก ลีลาประศาสน์, นายวราวิทย์ ลีลาเลิศแล้ว, นายจีรศักดิ์ คุณรักษ์พงศ์, นายสราวุธ มนต์ภาณีวงศ์, นายชาญวิทย์ มนต์ภาณีวงศ์, นางสว่างจิตร์ ลีลามั่นคง, นายรัฐพล ลีลภัสธนพงษ์",141 หมู่ที่ 2 ถนนเพชรเกษม ตำบลอ่าวลึกเหนือ อำเภออ่าวลึก จ.กระบี่ 81110,,บริษัท ไพรสณฑ์ปาล์ม จำกัด,False,https://www.dataforthai.com/company/0815524000023/,,,,,'075681136,,,,,,,,
'0105531018826,การเกษตรกรรมทุกชนิด และการให้บริการ,การปลูกธัญพืช (ยกเว้นข้าวและข้าวโพด),ยังดำเนินกิจการอยู่,16/3/2531,150000000,,"กรรมการ: นางสาววรรณี จันทร์ไกรวัล, นางณัฐนี ตุ้มทอง, นางสาวลาวัลย์ มานะ",109 หมู่ที่ 9 ถนนสุวรรณศร ตำบลดงขี้เหล็ก อำเภอเมืองปราจีนบุรี จ.ปราจีนบุรี 25000,"MORI FOOD PRODUCTS CO., LTD.",บริษัท สหปาล์ม ออยล์ จำกัด,False,https://www.dataforthai.com/company/0105531018826/,,,,,,,,,,,,,
'0575554001772,การปลูกธัญพืช,การปลูกธัญพืช (ยกเว้นข้าวและข้าวโพด),ยังดำเนินกิจการอยู่,24/11/2554,36000000,,กรรมการ: นายณัฐพล ปุสสเทวะ,450/23 หมู่ที่ 6 ตำบลริมกก อำเภอเมืองเชียงราย จ.เชียงราย 57100,"ANAN SUP PERM TAWEE CO., LTD.",บริษัท อนันต์ทรัพย์เพิ่มทวี จำกัด,False,https://www.dataforthai.com/company/0575554001772/,,,,,,,,,,,,,
'0105531049608,การปลูกพืชที่ให้น้ำมัน,การปลูกพืชน้ำมัน (ยกเว้นถั่วเหลือง),ยังดำเนินกิจการอยู่,4/7/2531,104000000,,"กรรมการ: นายทวีศักดิ์ อภิชาติมณีกุล, นางนภา อภิชาติมณีกุล",97/1 หมู่ที่ 8 ตำบลป่าคลอก อำเภอถลาง จ.ภูเก็ต 83110,"THAVEESAK LANDING CO., LTD.",บริษัท ทวีศักดิ์สวนยาง จำกัด,False,https://www.dataforthai.com/company/0105531049608/,,,,,'022780899,,,,,,,,
'0835521000081,สวนปาล์ม,การปลูกพืชตระกูลถั่ว,ยังดำเนินกิจการอยู่,3/5/2521,35000000,,"กรรมการ: นายพงษ์ศักดิ์ เกิดวงศ์บัณฑิต, นางมณีรัตน์ อุปัติศฤงศิ์, นางกมลพรรณ พันธุ์โกศล",20/5 อาคารวงศ์บัณฑิต ห้องเลขที่ 2 บี ถนนโกมารภัจจ์ ตำบลตลาดใหญ่ อำเภอเมืองภูเก็ต จ.ภูเก็ต 83000,"UNITED OIL PALM PLATAION CO.,LTD.",บริษัท สวนปาล์มสหมิตร จำกัด,False,https://www.dataforthai.com/company/0835521000081/,,,,,'075681602,,,,,,,,
'0105555084489,การปลูกพืชให้น้ำมัน,การปลูกพืชน้ำมัน (ยกเว้นถั่วเหลือง),ยังดำเนินกิจการอยู่,12/6/2555,170000000,,"กรรมการ: นายไพศาล ควรทรงธรรม, นางสาวพรทิพา ควรทรงธรรม, นายโกวิท ควรทรงธรรม, นางสาวชลธิชา ควรทรงธรรม, นางสาวจินตนา ควรทรงธรรม",194/16 ซอยภิรมย์ ถนนทรงวาด แขวงจักรวรรดิ เขตสัมพันธวงศ์ กรุงเทพมหานคร 10100,THE NATURAL PLANTATION COMPANY LIMITED,บริษัท สวนปาล์มธรรมชาติ จำกัด,False,https://www.dataforthai.com/company/0105555084489/,,,,,,,,,,,,,
'0105554088421,การทำนา ทำสวน ทำไร่ เลี้ยงสัตว์และกิจการคอกปศุสัตว์,การปลูกข้าวจ้าว,ยังดำเนินกิจการอยู่,5/7/2554,60000000,,"กรรมการ: นายธเรศ คีรี, นางยุพดี คีรี, นางสาวธารินทร์ คีรี",4188/1 ถนนดินแดง แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400,"DINSOOFAH CO.,LTD.",บริษัท ดินสู่ฟ้า จำกัด,False,https://www.dataforthai.com/company/0105554088421/,,,,,,,,,,,,,
